City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Current Description
106,San Patricio,US,28.017,-97.5169,96.78,53,58,20.87,broken clouds
107,Fairbanks,US,64.8378,-147.7164,36.61,90,95,0.0,mist
108,Lebu,CL,-37.6167,-73.65,54.75,12,74,11.74,few clouds
109,Catemaco,MX,18.4167,-95.1167,82.98,40,74,1.77,scattered clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,90,86,8.05,light snow
111,Collie,AU,-33.3667,116.15,52.99,93,96,4.63,overcast clouds
112,Saskylakh,RU,71.9167,114.0833,17.26,100,96,6.91,overcast clouds
113,Awjilah,LY,29.1081,21.2869,79.09,0,27,9.33,clear sky
114,Nara,JP,34.6851,135.8049,72.68,0,71,2.82,clear sky
115,Faanui,PF,-16.4833,-151.75,79.14,41,76,13.27,scattered clouds
116,Kondinskoye,RU,59.6481,67.41,27.34,6,63,4.12,clear sky
117,Nanakuli,US,21.3906,-158.1547,84.15,20,51,14.97,few clouds
118,Hilo,US,19.7297,-155.09,79.29,90,90,5.75,moderate rain
119,Victoria,HK,22.2855,114.1577,81.32,100,86,5.99,light rain
120,Koshurnikovo,RU,54.1667,93.3,33.84,100,84,1.9,overcast clouds
121,Vung Tau,VN,10.346,107.0843,79.52,100,86,13.58,light rain
122,Atuona,PF,-9.8,-139.0333,78.46,47,75,19.48,scattered clouds
123,Busselton,AU,-33.65,115.3333,55.09,96,73,15.12,overcast clouds
124,Baoqing,CN,46.3317,132.2111,45.19,2,58,15.14,clear sky
125,New Norfolk,AU,-42.7826,147.0587,44.74,87,63,2.89,overcast clouds
126,Hofn,IS,64.2539,-15.2082,42.51,62,69,12.08,broken clouds
127,Chulman,RU,56.8479,124.9104,24.44,62,91,3.2,broken clouds
128,Tautira,PF,-17.7333,-149.15,82.42,69,76,8.39,broken clouds
129,Chokurdakh,RU,70.6333,147.9167,17.51,100,89,5.79,overcast clouds
130,Tigil,RU,57.8,158.6667,31.44,54,87,5.64,broken clouds
131,Tual,ID,-5.6667,132.75,82.38,100,75,1.63,overcast clouds
132,Khatanga,RU,71.9667,102.5,16.52,100,96,5.1,light snow
133,Nikolskoye,RU,59.7035,30.7861,51.4,15,68,8.52,few clouds
134,Bambous Virieux,MU,-20.3428,57.7575,71.85,75,94,6.91,light rain
135,Dalen,NL,52.6992,6.7556,55.81,100,92,4.0,overcast clouds
136,Chuy,UY,-33.6971,-53.4616,60.58,95,78,15.61,overcast clouds
137,Tyup,KG,42.7276,78.3648,34.34,100,89,4.23,light rain
138,Dong Xoai,VN,11.5333,106.9167,74.23,100,99,2.37,light rain
139,Saint-Augustin,CA,51.226,-58.6502,51.78,59,61,5.64,broken clouds
140,Puerto Ayora,EC,-0.7393,-90.3518,76.96,67,81,8.01,broken clouds
141,Marion,US,39.7684,-86.1555,84.58,20,60,17.27,few clouds
142,Tasiilaq,GL,65.6145,-37.6368,33.96,1,57,2.84,clear sky
143,Juba,SS,4.8517,31.5825,77.22,99,70,1.95,overcast clouds
144,Hervey Bay,AU,-25.2986,152.8535,73.02,4,68,12.62,clear sky
145,Garissa,KE,-0.4536,39.6401,77.95,27,71,18.25,scattered clouds
146,Eyl,SO,7.9803,49.8164,78.55,62,87,17.31,broken clouds
147,Cozumel,MX,20.5083,-86.9458,89.01,20,74,1.99,few clouds
148,Puerto Narino,CO,-3.7703,-70.3831,91.35,100,66,2.04,overcast clouds
149,Octeville,FR,49.6261,-1.6435,59.92,20,100,4.61,few clouds
150,Laguna,US,38.421,-121.4238,81.05,1,36,1.99,clear sky
151,Muros,ES,42.7762,-9.0603,64.09,0,60,12.68,clear sky
152,Kavieng,PG,-2.5744,150.7967,82.22,63,75,6.98,broken clouds
153,Bethel,US,41.3712,-73.414,64.49,90,88,1.99,overcast clouds
154,Port Elizabeth,ZA,-33.918,25.5701,61.09,40,72,18.41,scattered clouds
155,Sayyan,YE,15.1718,44.3244,61.84,89,38,11.03,overcast clouds
156,Kipushi,CD,-11.7667,27.2333,79.41,36,25,10.02,scattered clouds
157,Cap-Aux-Meules,CA,47.3821,-61.8597,55.45,20,71,14.97,few clouds
158,Kathmandu,NP,27.7167,85.3167,68.22,20,94,0.0,few clouds
159,Shalya,RU,57.2471,58.7298,30.96,81,84,0.78,broken clouds
160,Kudahuvadhoo,MV,2.6708,72.8944,83.08,100,74,15.52,overcast clouds
161,Flinders,AU,-34.5833,150.8552,51.21,100,85,4.0,overcast clouds
162,Celestun,MX,20.8667,-90.4,85.84,75,65,10.22,broken clouds
163,Bure,ET,10.7,37.0667,58.15,92,94,2.08,light rain
164,Jacareacanga,BR,-6.2222,-57.7528,90.48,79,49,2.3,broken clouds
165,Luderitz,NA,-26.6481,15.1594,71.13,9,40,6.11,clear sky
166,Payo,ID,-3.7508,103.6372,75.45,89,86,0.96,moderate rain
167,Petropavlovka,RU,50.6114,105.3196,34.79,6,68,3.02,clear sky
168,Esil,KZ,51.9556,66.4042,35.35,36,71,8.08,scattered clouds
169,Longyearbyen,SJ,78.2186,15.6401,24.64,75,80,5.75,broken clouds
170,Ponta Do Sol,PT,32.6667,-17.1,73.0,15,71,5.46,few clouds
171,Sulangan,PH,11.1373,123.7228,82.96,82,77,21.07,broken clouds
172,Kautokeino,NO,69.0125,23.0412,36.41,100,98,4.12,overcast clouds
173,Pachmarhi,IN,22.4667,78.4333,63.63,24,65,2.08,few clouds
174,Valle De Santiago,MX,20.3833,-101.2,81.23,27,42,3.78,scattered clouds
175,Gaya,IN,24.7833,85.0,73.69,0,76,3.04,clear sky
176,Dawei,MM,14.0833,98.2,76.87,100,94,2.44,light rain
177,Cherskiy,RU,68.75,161.3,0.46,87,98,5.55,overcast clouds
178,Antofagasta,CL,-23.65,-70.4,68.22,10,61,9.15,clear sky
179,Nyurba,RU,63.2842,118.3319,31.26,100,92,13.02,light snow
180,Santa Cruz,BO,-17.8,-63.1667,95.05,40,46,16.11,scattered clouds
181,Forrest City,US,35.0081,-90.7898,87.66,0,43,17.29,clear sky
182,Astana,KZ,51.1801,71.446,37.35,90,87,13.42,overcast clouds
183,Palauig,PH,15.435,119.9045,81.27,100,87,16.35,overcast clouds
184,Deep River,CA,46.1001,-77.4995,64.44,100,94,4.76,overcast clouds
185,Kruisfontein,ZA,-34.0033,24.7314,52.84,41,76,6.2,scattered clouds
186,Preobrazheniye,RU,42.9019,133.9064,49.64,76,69,11.07,broken clouds
187,Westport,US,41.1415,-73.3579,66.97,90,90,1.99,overcast clouds
188,Oussouye,SN,12.485,-16.5469,84.38,58,79,5.95,broken clouds
189,Timmins,CA,48.4669,-81.3331,67.82,90,77,11.5,overcast clouds
190,Arona,ES,28.0996,-16.681,67.82,20,68,6.91,few clouds
191,Rongcheng,CN,30.634,117.8517,58.86,100,96,7.14,overcast clouds
192,Cayenne,GF,4.9333,-52.3333,86.04,0,77,3.0,clear sky
193,Fez,MA,34.0372,-4.9998,75.31,0,35,4.61,clear sky
194,Korla,CN,41.7597,86.1469,47.08,58,42,3.04,broken clouds
195,Cabo San Lucas,MX,22.8909,-109.9124,96.19,88,66,4.0,overcast clouds
196,Arrifes,PT,37.7667,-25.7,68.25,75,94,9.22,broken clouds
197,Kelamangalam,IN,12.6,77.85,71.11,98,93,5.28,overcast clouds
198,Port Lincoln,AU,-34.7333,135.8667,50.47,3,63,8.88,clear sky
199,Geraldton,AU,-28.7667,114.6,50.41,37,87,9.22,scattered clouds
200,Liverpool,GB,53.4106,-2.9779,57.15,75,80,5.01,broken clouds
